carat,cut,color,clarity,depth,table,price,x,y,z
1.2,Premium,G,SI2,62.6,61,4250,6.73,6.68,4.2
0.71,Premium,I,SI2,60.3,58,1821,5.72,5.78,3.47
0.39,Ideal,G,SI2,62,55,683,4.69,4.73,2.92
0.62,Very Good,D,SI1,61.3,58,1949,5.47,5.49,3.36
1.17,Good,I,SI1,63.6,61,4914,6.66,6.64,4.23
0.26,Premium,D,VS1,60,56,546,4.18,4.15,2.5
1.53,Very Good,G,SI1,62.5,56,9971,7.32,7.36,4.59
1.54,Premium,H,VS2,61.9,59,11663,7.31,7.33,4.53
1.01,Premium,F,VS2,61.7,58,6533,6.48,6.42,3.98
1.21,Ideal,F,IF,62.8,56,15497,6.75,6.84,4.27
1.2,Ideal,H,SI1,61.9,56,6578,6.78,6.82,4.21
1.5,Good,F,SI2,62.9,59,7727,7.19,7.32,4.56
0.43,Ideal,E,VS2,62.8,56,1048,4.86,4.79,3.03
0.56,Ideal,D,VS2,62.7,57,1846,5.28,5.25,3.3
2.02,Very Good,J,VS2,59.3,60,13693,8.28,8.34,4.93
1,Ideal,H,SI1,61.9,57,4872,6.43,6.39,3.97
0.41,Good,G,SI1,63.4,57,671,4.7,4.73,2.99
0.3,Ideal,G,VS2,63,55,675,4.31,4.29,2.71
1.02,Ideal,F,VS1,61,56,7654,6.54,6.5,3.98
0.42,Ideal,F,VVS1,62,55,1233,4.8,4.84,2.99
1.24,Premium,H,SI2,62.3,58,4444,6.84,6.8,4.25
0.5,Premium,G,VVS1,61.3,57,1987,5.15,5.07,3.13
0.32,Ideal,H,SI2,61.5,56,420,4.43,4.45,2.73
0.32,Ideal,H,VS2,62,57,648,4.39,4.35,2.71
1.51,Good,H,VS2,64,59,9821,7.19,7.25,4.62
0.38,Good,E,SI1,62.8,61,641,4.6,4.67,2.91
1.52,Very Good,G,VVS2,62.9,59,15265,7.25,7.29,4.57
0.31,Ideal,G,VVS2,61.4,56,707,4.35,4.38,2.68
1.51,Very Good,J,SI2,61.9,59,6546,7.26,7.31,4.51
1.01,Fair,D,VS2,65.6,61,6176,6.21,6.16,4.06
0.57,Good,G,SI1,63.5,55,1364,5.28,5.3,3.36
1.01,Very Good,F,VS2,61.1,58,7037,6.45,6.51,3.96
0.51,Very Good,H,SI1,61,55,1698,5.18,5.21,3.17
0.71,Ideal,F,VS1,62.6,55,2920,5.71,5.67,3.56
0.9,Very Good,I,VS2,62.8,52,3764,6.19,6.23,3.9
1.21,Good,E,I1,63.3,63,3726,6.67,6.72,4.24
1.23,Ideal,H,SI1,61.5,57,6681,6.92,6.89,4.25
0.72,Ideal,J,SI2,61.7,55,1926,5.77,5.81,3.57
0.7,Good,H,VS2,63.4,60,2394,5.59,5.61,3.55
0.67,Very Good,G,VS2,59.4,59.4,2131,5.71,5.8,3.41
0.3,Very Good,E,VS1,61.4,59,653,4.32,4.28,2.64
0.31,Ideal,F,VS2,61.9,54,802,4.38,4.35,2.7
0.3,Very Good,H,VVS1,63.4,57,878,4.31,4.27,2.72
1.1,Fair,E,SI1,65.5,57,3891,6.45,6.37,4.2
0.56,Ideal,D,VS2,61.1,56,1963,5.3,5.33,3.25
1.05,Ideal,H,SI2,61.2,57,4410,6.59,6.54,4.02
0.73,Good,E,SI1,63.6,57,2871,5.7,5.72,3.63
0.79,Very Good,E,VS1,62.2,55,3827,5.95,6.01,3.72
0.35,Ideal,G,IF,62,54,1001,4.54,4.56,2.82
0.33,Ideal,E,VVS1,60.9,56,1052,4.48,4.46,2.72
0.51,Ideal,H,SI1,61.6,55,1222,5.14,5.18,3.18
1,Ideal,F,VS1,61.7,55,7056,6.42,6.39,3.95
0.32,Ideal,D,SI1,59.6,57,756,4.47,4.42,2.65
1.23,Very Good,F,VVS2,62.4,58,10835,6.74,6.89,4.26
0.93,Very Good,E,SI2,60.5,57,4325,6.32,6.37,3.84
0.61,Ideal,E,VS1,62.2,56,2214,5.43,5.41,3.37
1.02,Ideal,E,SI2,62.3,56,3455,6.42,6.37,3.98
0.31,Good,I,SI1,64.3,55,488,4.29,4.27,2.75
0.32,Ideal,E,VS1,61.5,56,758,4.38,4.4,2.7
1.01,Good,D,SI2,63.6,56,4805,6.38,6.33,4.04
0.7,Very Good,H,VS2,61.6,55,2330,5.71,5.75,3.53
1.88,Good,J,SI2,57.9,59,8048,8.16,8.11,4.71
0.31,Premium,G,SI1,62.6,58,462,4.29,4.34,2.7
0.52,Ideal,G,VS1,62.4,55.1,1758,5.11,5.15,3.2
1.2,Ideal,G,VS1,62.4,57,8701,6.8,6.78,4.24
0.23,Very Good,F,VVS2,58.1,63,468,4.04,4.08,2.36
0.71,Very Good,G,SI2,63,56,1993,5.62,5.65,3.55
0.33,Ideal,F,IF,62.2,53,957,4.46,4.48,2.78
0.38,Premium,E,VS2,62.2,59,1112,4.67,4.63,2.89
0.32,Ideal,G,VVS1,62.4,55,842,4.37,4.38,2.73
0.61,Premium,H,VS1,59.6,61,1793,5.53,5.44,3.27
0.32,Very Good,D,VVS2,61.1,59,804,4.39,4.42,2.69
0.55,Premium,F,SI2,60.6,58,1263,5.31,5.28,3.21
0.32,Ideal,G,VS1,62,55,665,4.43,4.44,2.75
0.41,Ideal,E,VVS2,62.8,54,1243,4.77,4.72,2.98
0.3,Premium,H,VVS2,62.4,58,776,4.3,4.26,2.67
1.57,Premium,J,VS2,59.9,57,6629,7.56,7.52,4.52
1.38,Ideal,H,VS1,63.6,56,8037,7.05,7,4.47
1.01,Good,H,SI1,63.3,58,4559,6.37,6.4,4.04
0.9,Good,H,SI2,63.6,60,3193,6.11,6.06,3.87
0.51,Very Good,F,VS2,60.5,63,1781,5.17,5.11,3.11
1.75,Premium,H,VS2,61.5,58,9526,7.75,7.69,4.75
2.17,Premium,F,I1,60.7,59,9078,8.43,8.35,5.09
1.25,Very Good,H,SI2,63.2,60,4199,6.87,6.81,4.32
1.09,Ideal,F,SI1,62,56,5922,6.61,6.59,4.09
0.7,Ideal,I,VS2,61.9,53.2,2240,5.68,5.71,3.56
1.06,Very Good,H,VS2,60.7,59,5415,6.56,6.63,4
1.18,Very Good,J,SI2,63.5,57,4294,6.68,6.74,4.26
0.71,Ideal,G,VVS2,62.5,57,3095,5.7,5.73,3.57
0.3,Good,H,VS1,63.3,57,526,4.22,4.25,2.68
0.53,Ideal,E,VS2,61.9,56,1813,5.21,5.19,3.22
2.03,Ideal,I,VS2,59.9,60,15826,8.17,8.27,4.92
0.73,Ideal,D,VVS2,61.3,56,4372,5.79,5.82,3.56
0.43,Ideal,G,VS1,62.3,56,943,4.82,4.85,3.01
0.25,Premium,E,VS1,60.7,59,435,4.11,4.13,2.5
1.01,Fair,G,VS2,64.4,58,4887,6.25,6.18,4
0.55,Premium,F,SI2,60.6,58,1175,5.28,5.31,3.21
0.74,Very Good,E,SI1,61,58,2929,5.82,5.85,3.56
1.5,Ideal,E,VS2,63.4,54,14618,7.22,7.25,4.59
0.54,Ideal,H,IF,61.5,54,1981,5.27,5.3,3.25
0.9,Fair,D,SI2,64.6,59,3847,6.04,6.01,3.89
0.36,Ideal,G,SI2,61.8,56,565,4.58,4.61,2.84
0.33,Very Good,I,VVS1,58.9,61,609,4.52,4.55,2.67
0.7,Good,J,SI2,61.2,64,1824,5.68,5.73,3.49
1.01,Very Good,F,SI2,62.1,58,4332,6.35,6.41,3.96
0.53,Ideal,F,SI2,60.9,55,1220,5.26,5.29,3.21
1,Premium,E,SI2,58.5,59,3450,6.62,6.51,3.84
0.5,Good,D,VS1,64.2,55,1701,5.01,5.08,3.24
0.75,Premium,F,SI1,61.4,59,2782,5.88,5.85,3.6
1.15,Premium,H,SI2,62,58,4830,6.7,6.66,4.14
0.31,Premium,G,VS1,61.8,59,625,4.32,4.35,2.68
0.32,Ideal,D,SI1,61.9,57,756,4.4,4.36,2.71
0.52,Very Good,H,SI1,62.6,55,1111,5.12,5.16,3.22
0.5,Very Good,G,VS2,62,57,1351,5.04,5.12,3.15
0.31,Very Good,E,VVS1,60.3,57,752,4.41,4.44,2.67
1.13,Very Good,E,SI2,60.3,58,5052,6.78,6.86,4.11
1.54,Premium,H,SI1,62.2,58,10466,7.45,7.32,4.59
2.02,Very Good,G,SI2,63.2,54,13554,7.96,7.82,4.99
0.53,Ideal,G,VS1,62.7,55,1721,5.16,5.18,3.24
0.73,Very Good,F,VS1,62,57,3200,5.73,5.75,3.56
2.09,Premium,H,SI2,62.1,58,17156,8.22,8.17,5.09
0.31,Ideal,D,VS2,62.2,56,942,4.33,4.32,2.69
0.3,Premium,F,VS2,60.6,60,776,4.39,4.36,2.65
0.51,Ideal,I,VVS2,60.6,56,1575,5.18,5.22,3.15
0.7,Premium,G,VVS1,61.2,56,3105,5.75,5.68,3.5
1.51,Fair,F,I1,67.5,56,3734,7.17,7.05,4.8
1.13,Ideal,I,VS1,61.8,57,6980,6.66,6.7,4.13
0.31,Ideal,E,VS2,60.5,56,872,4.41,4.38,2.66
0.32,Premium,G,VS1,62.1,56,828,4.43,4.4,2.74
0.9,Very Good,I,SI1,63.3,59,3251,6.14,6.05,3.86
0.27,Ideal,I,VS1,62.2,55,432,4.15,4.18,2.59
0.33,Ideal,I,VS1,61.6,57,668,4.46,4.41,2.73
0.57,Ideal,G,VS1,61.4,55,1972,5.34,5.38,3.29
0.4,Good,J,VS1,63.4,58,631,4.61,4.64,2.93
1.12,Very Good,G,I1,61.2,63,3017,6.68,6.59,4.05
0.28,Ideal,D,VS2,62.4,57,625,4.2,4.16,2.61
0.73,Very Good,H,SI1,62.8,55,2196,5.71,5.75,3.6
0.52,Premium,E,VVS2,60.1,59,2467,5.27,5.22,3.15
1.02,Ideal,G,SI2,62.3,56,3204,6.39,6.35,3.97
1.2,Very Good,J,SI2,61.8,60,4580,6.76,6.83,4.2
1.13,Ideal,H,VS2,62,57,6045,6.61,6.69,4.12
0.9,Very Good,G,VS2,61.5,60,4386,6.13,6.16,3.78
1.2,Premium,D,SI2,62.6,57,5551,6.84,6.74,4.25
0.71,Very Good,D,VVS2,61,56,4363,5.75,5.79,3.52
0.31,Ideal,F,IF,62.3,53,914,4.35,4.38,2.72
0.37,Premium,F,VS2,60.5,59,894,4.67,4.62,2.81
2.01,Premium,H,SI2,62.5,62,11825,8.09,8.04,5.04
0.3,Ideal,E,VVS2,61.9,57,1013,4.31,4.28,2.66
0.34,Ideal,F,VS2,62.1,56,880,4.51,4.47,2.79
0.42,Ideal,H,IF,61.9,56,1216,4.79,4.81,2.97
1,Premium,D,VS2,59.6,60,6868,6.57,6.52,3.9
0.42,Premium,I,SI2,61.5,59,709,4.84,4.78,2.96
0.82,Very Good,G,VS2,59.8,56,3535,6.13,6.18,3.68
1,Very Good,E,VVS2,59.5,59,9139,6.54,6.58,3.9
0.24,Very Good,D,VVS2,58.8,58,521,4.05,4.08,2.39
1.01,Very Good,G,SI2,61,58,4249,6.43,6.48,3.94
2.01,Ideal,J,SI1,62.8,58,9725,8.02,7.97,5.02
0.3,Very Good,I,VVS2,63,57,596,4.24,4.27,2.68
0.53,Ideal,E,VS2,62,56,1739,5.16,5.2,3.21
0.7,Fair,G,VS2,57.3,63,2273,5.78,5.84,3.33
0.37,Ideal,E,VS2,61.9,53,1041,4.65,4.62,2.87
0.51,Very Good,F,SI2,62.7,56,1070,5.06,5.08,3.18
0.91,Good,G,VS1,64.1,59,4150,6.1,6.13,3.92
1.69,Ideal,F,VS2,62.2,57,16789,7.59,7.66,4.74
0.92,Very Good,F,SI1,63.8,56,3920,6.12,6.17,3.92
0.71,Ideal,G,VS1,61.7,57,3431,5.7,5.75,3.53
0.5,Good,F,SI1,57.9,62,1145,5.18,5.21,3.01
0.27,Premium,E,VS1,60.2,59,603,4.24,4.2,2.54
0.57,Ideal,E,SI1,62.2,55,1613,5.37,5.31,3.32
1.01,Premium,E,IF,62.6,58,11387,6.37,6.44,4.01
0.7,Very Good,D,VS1,63.1,59,2755,5.67,5.58,3.55
1.03,Ideal,J,SI2,62.4,56,4054,6.44,6.48,4.03
0.4,Very Good,E,VVS2,61,55,1106,4.77,4.81,2.92
0.51,Premium,D,SI2,62,58,1264,5.08,5.12,3.16
1.22,Premium,H,SI2,61.6,59,5192,6.82,6.75,4.18
1.03,Ideal,D,SI2,60.5,58,5491,6.52,6.58,3.96
1.01,Very Good,D,SI2,61.8,60,4588,6.37,6.41,3.95
0.32,Ideal,D,SI2,62.4,54,477,4.38,4.4,2.74
0.31,Ideal,H,SI1,62.4,55,464,4.31,4.35,2.7
1.16,Premium,H,SI1,60.2,59,5480,6.84,6.77,4.1
1.24,Premium,I,SI1,60.4,58,5555,7.02,6.95,4.22
0.32,Premium,D,SI1,61.3,60,589,4.41,4.43,2.71
0.75,Ideal,H,SI1,61.9,56,3011,5.81,5.85,3.61
0.57,Premium,D,SI1,61.1,56,1847,5.38,5.33,3.27
0.37,Ideal,E,VVS2,62.2,56,1082,4.63,4.6,2.87
0.41,Very Good,E,SI1,63.1,57,878,4.73,4.71,2.98
1.51,Premium,J,SI1,62.3,58,7034,7.3,7.33,4.56
1.23,Ideal,H,I1,61.6,55,3168,6.92,6.87,4.25
0.91,Very Good,D,SI1,62.8,58,5033,6.16,6.19,3.88
1.5,Fair,D,I1,64.7,62,5460,7.19,7.04,4.6
1.01,Good,G,SI1,63.7,60,5113,6.32,6.28,4.01
1.2,Good,I,VS1,61.7,62,5818,6.65,6.74,4.13
0.56,Very Good,H,SI1,61.2,57,1179,5.28,5.31,3.24
0.25,Ideal,F,VS2,61.7,56,535,4.04,4.07,2.5
1.2,Ideal,I,VS2,61.5,57,5880,6.8,6.75,4.17
0.73,Ideal,F,VS1,61.4,55,3797,5.8,5.83,3.57
0.94,Very Good,E,SI1,62.4,56,4661,6.24,6.27,3.9
0.3,Ideal,F,VVS1,61.9,57,995,4.32,4.3,2.67
0.56,Ideal,G,VS1,62.2,55,1915,5.31,5.27,3.29
1.53,Premium,D,SI1,61.6,58,10712,7.35,7.42,4.55
0.43,Ideal,F,VS2,61.4,54,848,4.9,4.93,3.02
0.7,Premium,G,VS1,61.4,59,2535,5.74,5.59,3.51
0.92,Premium,D,SI1,62.5,59,5028,6.24,6.14,3.87
0.31,Ideal,E,VVS1,61.7,56,924,4.33,4.36,2.68
1.5,Very Good,G,SI2,63.1,57,9282,7.29,7.25,4.59
1.22,Premium,F,VS2,62,58,8733,6.89,6.86,4.26
1.01,Premium,E,VS1,62.9,60,7839,6.36,6.32,3.99
0.74,Premium,G,SI1,59.6,59,2447,5.94,5.87,3.52
0.51,Premium,E,VVS1,61.4,60,2323,5.11,5.05,3.12
0.9,Very Good,F,SI1,62.8,59,4099,6.1,6.16,3.85
1.2,Ideal,H,VS2,62.6,56,6586,6.76,6.73,4.22
1.12,Premium,J,SI1,62.3,57,4064,6.72,6.61,4.15
0.4,Ideal,F,SI2,61,56,731,4.76,4.81,2.92
0.7,Very Good,H,VS2,61.4,54,2138,5.77,5.66,3.51
1.61,Premium,I,VS1,62.2,58,9961,7.46,7.55,4.67
0.41,Ideal,F,SI1,61.6,57,904,4.8,4.78,2.95
1.01,Ideal,H,VS1,61.5,56,4779,6.48,6.43,3.97
0.41,Ideal,F,VS2,62.7,57,863,4.73,4.78,2.98
0.37,Ideal,D,VS2,61.1,54,763,4.63,4.66,2.84
0.43,Very Good,D,SI1,62.9,56,760,4.78,4.83,3.02
0.7,Very Good,E,VS2,62.9,57,2793,5.66,5.69,3.57
0.42,Very Good,D,VVS1,62.8,56,1547,4.76,4.8,3
1.5,Premium,G,VS2,59.9,58,11189,7.38,7.34,4.41
0.55,Ideal,G,VVS1,62.6,56,2116,5.24,5.27,3.29
1.21,Good,E,SI1,63.6,58,6861,6.65,6.77,4.27
0.42,Very Good,I,SI1,61.2,60,626,4.78,4.82,2.94
1,Good,F,SI1,63.6,58,4851,6.27,6.31,4
0.54,Premium,G,VS2,62.7,58,1637,5.19,5.15,3.24
0.9,Good,E,SI2,65.8,60,3595,5.94,5.97,3.92
0.91,Premium,E,SI2,58.5,60,3379,6.34,6.31,3.7
1.16,Premium,H,SI1,59.6,58,4814,6.86,6.83,4.08
0.3,Ideal,D,VS1,60.8,56,885,4.37,4.39,2.66
0.41,Premium,D,SI1,62.1,59,1015,4.76,4.74,2.95
0.32,Good,F,SI1,63.2,55,533,4.37,4.4,2.77
0.36,Ideal,D,VVS2,61.9,53,957,4.57,4.6,2.84
0.3,Ideal,H,VS1,62.7,55,675,4.3,4.25,2.68
1.11,Premium,E,SI2,62.5,58,4581,6.61,6.63,4.14
1.2,Very Good,J,SI1,61.2,55,5142,6.84,6.88,4.2
0.44,Ideal,H,IF,61.5,56,1185,4.89,4.93,3.02
1.01,Good,J,VS1,61.5,61,4189,6.39,6.45,3.95
1.06,Ideal,H,SI2,59.9,58,4749,6.67,6.63,3.98
0.3,Ideal,D,SI1,61.6,56,552,4.3,4.34,2.66
0.54,Ideal,D,VS2,61.1,56,1672,5.23,5.27,3.21
2.02,Good,F,SI2,61.9,61,15261,8.06,8.02,4.98
0.7,Premium,E,VS2,61.1,60,2777,5.71,5.64,3.47
0.31,Ideal,G,VS1,60.6,56,627,4.38,4.4,2.66
0.71,Premium,D,SI1,60.5,59,2743,5.81,5.79,3.51
1.06,Ideal,I,VVS2,62.2,55,6069,6.51,6.55,4.06
0.91,Ideal,F,SI2,61.7,55,3196,6.27,6.2,3.85
0.43,Very Good,G,SI1,62.9,55,754,4.83,4.87,3.05
0.33,Ideal,J,VVS1,62.1,54,509,4.45,4.47,2.77
1.52,Ideal,F,SI1,62.2,56,12183,7.41,7.31,4.58
0.31,Ideal,G,VVS1,61.8,54,789,4.39,4.41,2.72
2,Premium,I,VS2,60.7,60,16694,8.07,8.02,4.88
0.9,Premium,I,SI1,60.9,56,2947,6.26,6.21,3.8
1.05,Premium,I,I1,61.8,56,2339,6.53,6.48,4.02
0.28,Very Good,E,VVS1,61.1,60,646,4.17,4.21,2.56
1.22,Ideal,F,SI2,62,57,4852,6.88,6.83,4.25
1.11,Ideal,G,SI1,62,57,5127,6.69,6.61,4.12
0.31,Premium,I,VVS1,61,58,571,4.33,4.39,2.66
0.3,Ideal,D,VS1,61,58,601,4.3,4.36,2.64
0.8,Very Good,G,VVS2,62.5,56,4002,5.95,5.98,3.73
1.01,Ideal,G,VS1,61.5,56,6794,6.48,6.43,3.97
1.51,Very Good,D,SI2,59.7,58,9627,7.43,7.48,4.45
1.5,Good,E,VS2,63.7,56,13653,7.18,7.16,4.57
0.3,Good,H,VS1,63.2,59,512,4.31,4.27,2.71
1.1,Good,F,SI2,63.8,56,4244,6.53,6.48,4.15
1.54,Premium,G,VS2,60.2,60,13292,7.51,7.44,4.5
0.38,Very Good,F,VS1,60.4,60,835,4.7,4.74,2.85
1.51,Ideal,G,VVS2,62.1,58,15529,7.34,7.31,4.54
1.55,Very Good,G,SI2,61.9,60,8873,7.31,7.36,4.54
0.81,Premium,G,VS2,61.4,60,3193,6.02,5.99,3.69
0.55,Ideal,G,VVS2,62.3,53,1799,5.27,5.29,3.29
0.3,Ideal,H,VVS2,61.3,56,776,4.35,4.33,2.66
1,Premium,G,VVS1,62.1,59,8154,6.4,6.29,3.94
2.01,Very Good,I,VS1,63,59,18500,7.87,7.94,4.98
0.7,Premium,G,VS2,61.7,58,2317,5.68,5.73,3.52
0.31,Premium,I,SI1,62.3,59,523,4.32,4.29,2.68
0.73,Very Good,F,SI1,61.6,62,2326,5.71,5.76,3.53
1.26,Ideal,I,SI2,62,56,5363,7,6.94,4.32
0.73,Ideal,H,SI1,61.5,55,2605,5.79,5.84,3.57
1.54,Premium,J,VS2,59.3,59,6202,7.54,7.5,4.46
1.23,Premium,D,SI2,58,59,4470,7.02,6.97,4.06
0.5,Premium,F,VS2,62.3,58,1436,5.02,5.06,3.14
1.11,Ideal,F,VS2,62.2,54,9144,6.62,6.69,4.14
0.51,Ideal,G,VS1,59.7,57,1656,5.2,5.25,3.12
2.11,Premium,I,SI2,62.3,56,13701,8.23,8.13,5.1
0.91,Premium,F,SI1,61,59,4026,6.23,6.19,3.79
2.52,Ideal,I,SI1,61.5,56,17231,8.76,8.69,5.37
0.32,Premium,E,IF,60,61,967,4.5,4.46,2.69
0.29,Ideal,G,SI1,62.1,54,420,4.25,4.29,2.65
0.51,Premium,G,VS1,61,58,1591,5.2,5.16,3.16
0.52,Ideal,H,VS1,62.4,55,1577,5.19,5.17,3.23
1.26,Very Good,G,VS2,63.3,57,8040,6.88,6.93,4.37
1.04,Very Good,F,SI2,63.1,60,4508,6.42,6.35,4.03
0.7,Premium,F,SI1,62.3,58,2196,5.67,5.72,3.55
0.56,Ideal,G,VVS2,60.7,56,2058,5.32,5.33,3.23
0.36,Ideal,G,VVS2,61.6,57,776,4.58,4.62,2.83
1.04,Premium,I,SI1,62.5,62,4252,6.45,6.39,4.01
0.32,Premium,J,VS2,61.9,58,504,4.38,4.35,2.7
0.35,Ideal,H,SI1,60.8,56,523,4.58,4.6,2.79
0.3,Ideal,F,VS1,62.4,56,673,4.3,4.32,2.68
0.39,Ideal,D,SI2,61.6,56,651,4.69,4.72,2.9
0.31,Very Good,F,VS2,58.8,58,609,4.45,4.49,2.63
1.2,Very Good,F,VVS2,61.4,60,10931,6.79,6.83,4.18
1.08,Premium,H,VS1,62.5,60,5111,6.55,6.51,4.08
0.64,Ideal,H,SI2,60.8,56,1125,5.57,5.61,3.4
0.5,Very Good,E,SI1,63.5,61,1374,5.03,4.98,3.18
0.71,Very Good,G,VS2,63.1,58,2515,5.69,5.6,3.56
0.85,Premium,F,VVS2,61.2,60,4530,6.1,6.13,3.74
0.31,Ideal,F,VS2,61.6,55,757,4.38,4.39,2.7
0.4,Ideal,D,VS2,61.3,57,1050,4.77,4.75,2.92
0.7,Premium,D,SI2,61.8,55,2222,5.71,5.68,3.52
0.4,Premium,I,VVS1,60.8,58,842,4.76,4.78,2.9
1.02,Very Good,E,SI1,60.5,63,4901,6.54,6.48,3.94
0.24,Very Good,E,VVS2,57.7,61,478,4.12,4.13,2.38
0.4,Ideal,E,VVS2,61.8,55,1158,4.74,4.78,2.94
1.02,Very Good,G,VVS1,63,58,7657,6.4,6.43,4.04
1.5,Premium,I,VS2,62.5,59,9055,7.3,7.26,4.55
0.31,Premium,G,VVS2,61.8,58,907,4.36,4.32,2.68
0.46,Premium,E,VS1,61.9,58,1437,4.94,4.91,3.05
1.5,Very Good,I,VS1,62.7,59,9519,7.19,7.26,4.53
0.53,Premium,F,SI1,61.4,58,1324,5.19,5.17,3.18
1.13,Very Good,D,VVS2,61.5,58,13111,6.64,6.67,4.09
1.51,Premium,H,SI1,61.5,58,8752,7.38,7.31,4.52
1.08,Very Good,G,VS2,62,57,6168,6.52,6.55,4.05
0.38,Ideal,H,SI1,61.2,56,650,4.63,4.68,2.85
2.03,Ideal,G,SI2,61.1,57,17182,8.16,8.21,5
0.5,Premium,F,VS2,60.9,58,1436,5.1,5.14,3.12
0.53,Very Good,D,SI1,61.4,57,1631,5.2,5.26,3.21
1.51,Fair,I,VS2,64.6,58,8287,7.19,7.15,4.63
1.52,Good,J,VVS2,57.9,62,8861,7.61,7.63,4.41
1.26,Ideal,F,SI1,60.6,56,6922,7.05,6.98,4.25
1.14,Premium,G,SI2,61.1,59,4688,6.77,6.72,4.12
0.77,Very Good,G,SI1,63.2,57,2586,5.86,5.76,3.67
1.08,Ideal,F,VS2,62.5,57,7625,6.52,6.57,4.09
0.73,Ideal,D,VS1,61.1,57,3509,5.85,5.81,3.56
1.25,Premium,I,VS2,61.2,58,6300,6.94,6.89,4.23
0.3,Premium,H,VS2,62.2,59,608,4.31,4.28,2.67
0.6,Ideal,D,VS2,62,55,2444,5.39,5.42,3.35
0.7,Very Good,E,SI1,63.2,60,2777,5.6,5.51,3.51
0.32,Ideal,F,VS2,61.5,55,645,4.4,4.42,2.71
0.91,Very Good,E,SI1,61.9,61,4031,6.11,6.14,3.79
0.9,Fair,F,VS2,65.7,57,3750,6.03,5.99,3.95
1.01,Very Good,F,SI2,61,60,4121,6.44,6.48,3.94
0.32,Premium,H,VS2,61.4,60,648,4.41,4.39,2.7
1,Very Good,G,VS2,63.5,59,5967,6.33,6.23,3.99
0.7,Good,F,VS1,64,57,2441,5.62,5.54,3.57
1.6,Premium,H,SI2,59.4,59,8333,7.6,7.55,4.5
0.91,Ideal,G,VS2,61.4,57,5023,6.23,6.28,3.84
0.53,Good,E,VS2,63.7,55,1727,5.15,5.12,3.27
0.53,Ideal,H,VVS2,61.8,56,1674,5.2,5.22,3.22
0.75,Very Good,G,SI1,60.9,58,2545,5.84,5.88,3.57
0.41,Good,D,SI1,56.5,63,758,4.98,4.94,2.8
0.9,Good,F,SI2,61.3,59,3621,6.12,6.15,3.76
1.12,Ideal,G,VS1,61,56,7495,6.72,6.76,4.11
0.56,Ideal,G,IF,62.2,54,2321,5.3,5.34,3.31
1.04,Premium,H,SI1,60.4,59,4368,6.59,6.55,3.97
0.3,Ideal,G,VS2,61,57,484,4.33,4.36,2.65
1.03,Good,D,SI1,64.3,58,4441,6.31,6.28,4.05
1.02,Very Good,H,SI1,63.7,55,4552,6.31,6.38,4.04
0.57,Very Good,J,SI1,60.6,61,1037,5.36,5.4,3.26
0.9,Good,D,SI1,58.5,63,4469,6.21,6.3,3.66
1.21,Premium,G,SI1,59.5,62,5556,6.65,6.57,3.84
1,Premium,D,VVS2,61.6,60,10046,6.41,6.36,3.93
0.3,Ideal,H,VS2,61.9,54.6,486,4.27,4.33,2.67
0.81,Premium,J,VS1,61.7,61,2350,5.94,5.9,3.65
1.69,Good,E,VS1,63.8,56,17400,7.51,7.57,4.81
1.03,Ideal,F,I1,61.1,55,3444,6.51,6.54,3.99
1.03,Premium,H,SI2,62.7,62,3749,6.43,6.38,4.02
1.5,Premium,D,VS2,60.2,59,15052,7.48,7.36,4.47
0.9,Fair,F,SI2,65.7,63,3062,6.01,5.96,3.93
2.02,Very Good,I,SI1,60.4,58,17357,8.2,8.16,4.94
0.62,Premium,F,SI1,63,59,1777,5.43,5.39,3.41
0.76,Ideal,I,VS2,61.8,56,3577,5.85,5.89,3.63
0.71,Very Good,E,VS1,63.3,59,3064,5.64,5.68,3.58
0.35,Ideal,G,IF,61.3,56,910,4.51,4.53,2.77
0.36,Ideal,I,IF,60.8,57,852,4.6,4.64,2.81
1.51,Good,D,I1,57,64,6088,7.53,7.48,4.28
1.03,Fair,I,SI2,65.2,56,3530,6.42,6.35,4.16
2.4,Premium,F,SI2,62.6,59,16797,8.53,8.49,5.33
0.29,Very Good,H,VVS1,62,55,478,4.24,4.27,2.64
0.35,Ideal,H,VVS2,59.2,56,706,4.6,4.65,2.74
0.9,Good,H,SI2,62.4,61,3160,6.03,6.11,3.79
1.12,Fair,G,VS1,64.8,56,5487,6.48,6.52,4.21
1.54,Premium,I,SI1,60.1,58,9314,7.53,7.48,4.51
0.32,Ideal,F,SI2,61.7,56,561,4.41,4.44,2.73
0.9,Very Good,I,SI1,63.5,59,3121,6.1,6.05,3.86
1.01,Good,I,SI2,62.6,59,3823,6.34,6.43,4
1.54,Ideal,H,SI2,60.9,56,9624,7.45,7.43,4.53
2.53,Premium,H,SI2,61.1,57,15148,8.82,8.76,5.37
2.07,Very Good,H,SI1,62.1,59,17893,8.15,8.2,5.08
0.39,Ideal,H,VVS2,61.4,56.1,853,4.7,4.73,2.89
1.05,Very Good,E,SI1,59.7,57,6224,6.63,6.71,3.98
1.2,Fair,J,I1,64.9,59,3011,6.61,6.54,4.27
1.53,Ideal,F,SI1,62.6,55,12415,7.39,7.37,4.62
1.13,Good,F,SI2,64,58,4025,6.58,6.52,4.19
0.28,Very Good,G,VS2,61.3,57,492,4.21,4.24,2.59
