murders,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn
yes,131591,2.62,18.96,57.25,8.11,27.29,12.4,28.85,13.61,11.28,131591,100,35103,78.21,0.61,43.81,21.4,9.16,11.6,40435,19588,25685,12089,13759,17727,8817,19043,14.92,11.37,22.48,36.26,6.3,62.15,11.08,33,8.84,38.35,9.52,40.7,14.47,12.08,3.23,67.82,62.84,77.34,68.11,55.56,61.71,5847,7.02,36227,20.42,31.11,41.22,52.37,5.62,8.57,11.35,14.42,64.2,9.66,10.5,6.38,2.53,2.63,2.45,48.08,13.13,68.74,2,2833,94.66,46.27,3.46,25.94,1954,2.31,0.38,187400,284100,431800,244400,455,573,732,277,630,29.8,25.1,11.8,220,14,27.53,39.13,45.87,80.95,84.68,23.8,5524.4,5.5,18.02
no,23163,2.49,0.29,98.16,1.15,0.71,13.2,27.45,13.1,14.12,23163,100,31877,77.86,0.54,48.74,30.19,5.98,20.41,37531,14885,14946,15923,17756,8286,16698,1608,7.15,4.16,14.54,21.44,4.22,66.26,9.88,24.07,11.58,26.17,8.27,32.4,12.93,10.78,2.95,73.72,69.34,84.47,68.98,71.73,77.2,247,1.41,929,7.64,9.69,17.22,32.72,0.31,0.39,0.69,1.31,94.92,0.29,2.82,1.87,2.42,2.58,2.15,66.72,0.82,50.19,2,425,95.62,62.56,0.47,43.06,1949,0.84,0.43,85600,105600,126800,41200,357,458,565,208,531,26.5,22.2,13.8,6,0,4.01,71.64,57.54,83.13,90.07,12.3,1877.8,2.42,0
no,11257,2.64,0.24,97.49,0.87,1.43,14.09,26.45,12.36,12.63,0,0,24604,77.48,0.79,39.1,28.78,5.38,13.16,30150,12073,12190,12000,8103,8328,10621,1022,9.23,9.38,23.53,12.43,3.63,62.69,18.43,14.92,22.62,19.75,9.9,21.21,14.25,12.21,3.06,77.51,74.98,85.75,76.53,64.82,74.78,80,0.84,131,9.16,19.08,37.4,41.22,0.11,0.22,0.44,0.48,96.96,0.82,4.64,3.45,2.59,2.66,2.47,68.4,3.35,39.47,3,216,95.18,66.76,4.17,44.91,1974,8.98,0.09,40800,53900,72200,31400,240,285,339,99,377,25.4,20.5,12.1,0,0,1.16,41.88,42.61,72.06,77.89,15.2,741.8,0.43,0
no,21977,2.77,2.83,94.47,0.74,0.59,21.41,38.15,25.17,10.49,0,0,24365,77.85,0.16,48.61,25.84,7.84,15.71,33207,12035,12393,3423,9101,4148,6186,3099,16.57,7.28,16.82,30.09,7.2,57.21,4.27,40.58,9.55,30.95,9.02,47.22,10.99,9.99,2.96,69.74,70.48,77.38,78.16,67.37,74.96,295,2.16,449,12.25,15.37,20.71,22.49,0.25,0.31,0.42,0.46,94.7,0.51,2.67,1.64,2.34,2.71,1.97,58.51,1.03,53.8,2,274,96.67,50.6,2.19,35.77,1953,2.48,0.55,38700,50700,70100,31400,223,299,384,161,346,26.5,18.3,13.9,26,0,2.04,74.78,43.99,67.59,90.48,11.8,1859.9,0.91,0
no,11224,2.6,2.35,97.3,0.19,0.49,13.02,22.72,11.14,14.95,6463,57.58,25615,69.18,1,44.51,36.98,7.65,26.3,30227,11587,11671,9055,8571,0,8723,1214,10.86,7.83,22.71,13.11,10.57,50.13,17.49,21.34,16.78,23.2,6.92,24.34,8.35,7.67,3.01,81.29,77.92,90.54,91.45,58,60.84,65,0.71,80,0,0,0,0,0,0,0,0,95.79,0.34,2.66,2.06,2.6,2.64,2.39,84.78,0.93,40.03,3,299,93.53,83.44,4.01,64.88,1960,0.86,0.32,37200,56200,79200,42000,136,222,305,169,351,21.2,17.3,12.1,0,0,0.71,91.42,73.28,85.35,97.39,33.3,336.8,0.97,0
yes,10815,3.88,0.07,78.36,0.09,90.8,20.79,32.24,16.43,9.61,10815,100,14292,74.85,2.48,13.5,27.55,20.09,6.24,15406,6014,6504,8703,0,0,5605,4159,38.95,46.88,59.32,7.27,13.29,46.86,10.37,27.56,18.54,17.85,3.99,32.07,10.16,7.33,4.11,74.55,67.72,81.48,72.75,52.6,55.71,248,2.15,2821,11.34,21.27,27.76,38.18,2.96,5.55,7.24,9.96,12.76,22.13,19.82,17.56,3.81,3.83,3.77,72.24,26.11,52.56,2,374,88.16,71.91,9.36,23.53,1973,17.24,2.98,23200,34800,47900,24700,105,177,240,135,220,27.3,24.1,13.1,0,0,26.08,64.13,61.13,88.29,91.88,3.8,2846.1,1.47,0
no,11795,2.64,0.86,98.21,0.64,0.62,12.43,28.51,12.33,8.91,0,0,38792,85.16,1.28,47.83,19.63,3.02,10.8,43628,16547,16515,14472,19803,22078,19294,592,5.07,5.3,15.78,24.17,5.43,72.01,32.27,15.66,15.75,27.44,9.32,26.78,13.76,11.67,3.08,78.58,78.31,91.06,72.42,69.28,73.78,98,1.21,375,5.87,11.47,11.47,13.6,0.19,0.36,0.36,0.43,95.46,0.43,3.44,2.44,2.61,2.79,2.34,65.01,1.59,48.58,3,330,93.11,60.9,0.61,37.88,1973,2.28,0.4,113500,137600,163900,50400,453,557,647,194,631,26.5,27.2,15.9,0,0,3.17,43.03,44.66,80.59,82.4,26.1,451.4,0.36,0
no,13055,2.76,1.68,95.17,2.25,3.29,11.82,24.73,11.38,12.93,13055,100,47643,83.45,0.25,53.53,28.09,3.45,21.3,52858,18834,18919,17559,0,19362,13820,377,2.89,8.1,21.56,20.04,3.79,70.85,22.38,20,12.44,28.45,6.13,29.18,9.45,7.85,3.16,83.59,81.65,94.8,85.53,56.65,69.83,104,1.12,1201,5.58,9.99,21.07,24.73,0.51,0.92,1.94,2.27,86.4,2.04,4.2,3.32,2.76,2.94,2.14,81.95,1.16,33.13,3,188,96.18,76.78,0,29.79,1957,0.55,0.33,136100,160100,186600,50500,475,573,698,223,644,24.1,24.4,16.4,0,0,9.2,66.56,69.16,81.89,95.02,3.6,3599.6,2.16,0
yes,58282,2.42,35.16,63.62,0.85,1.04,15.36,30.22,16.48,14.26,58282,100,23963,75.37,0.51,36.16,30.91,8.39,11.97,30997,14708,19067,6959,5699,8344,9671,9605,17.72,11.24,27.54,29.3,5.67,61.42,17.85,29.27,15.33,30.15,12.41,37.72,15,13.85,2.99,55.39,49.96,61.42,55.6,63.9,72.06,3926,9.15,1170,23.85,30.6,40,47.18,0.48,0.61,0.8,0.95,96.24,0.48,4.7,2.79,2.25,2.35,2.16,48.94,2.92,58.59,2,2352,91.11,46.79,7.23,30.23,1958,9.05,0.73,46600,68700,108400,61800,153,274,389,236,367,23.7,19.7,12.6,119,1,2.01,63.87,46.79,76.67,82.52,26,2241.3,2.36,48.44
no,24603,3.21,0.96,94.52,1.73,5.24,17.17,29.37,12.63,7.28,24603,100,35018,85.34,1.38,42.59,18.46,3.09,21.98,37446,11602,11621,10825,9056,14066,9657,1065,4.38,2.22,11.27,15.58,4.05,71.88,17.53,15.89,14.12,26.29,7.94,22.85,11.43,9.74,3.56,82.97,82.27,88.79,83.62,74.66,82.08,19,0.09,413,9.44,9.44,22.52,36.8,0.16,0.16,0.38,0.62,94.73,0.79,12.05,10.03,3.19,3.28,2.82,82.81,3.49,29.01,3,280,96.47,80.52,0.36,39.29,1972,1.48,0,56400,66300,76900,20500,261,299,387,126,382,22.5,19.2,12,0,0,1.68,69.93,54.35,79.94,91.41,7,3514.7,1.24,0
yes,29563,3.08,0.97,65.02,6.55,34.84,15.62,27.55,12.98,11.28,0,0,22168,69.83,1.25,29.02,30.11,20.78,15.93,25268,9666,11672,5160,11295,6561,5995,7593,26.82,22.88,39.22,12.49,12.79,49.82,10.48,29.76,13.47,22.16,9.95,32.25,15.29,12.79,3.42,65.54,61.77,68.07,69.8,55.45,62.36,1379,5.49,4868,19.68,31.41,39.3,52.44,3.24,5.17,6.47,8.64,67.31,10.63,11.3,8.48,2.93,2.81,3.08,53.22,14.05,52.35,2,487,95.17,55.49,2.05,25.87,1973,6.27,0.43,56700,71500,91500,34800,248,329,389,141,407,30.3,22.6,12.3,112,9,16.41,56.61,42.25,78.67,91.39,11.6,2538.9,0.31,0
yes,14579,2.54,7.31,91.15,1.17,0.77,12.29,25.91,12.75,13.53,14579,100,32733,76.41,1.56,56.65,28.21,3.92,19.51,41694,15338,15552,11698,1695,19525,10128,1251,9,7.85,15.12,33.78,4.28,61.6,17.59,32.86,10.74,37.53,7.99,30.3,10.37,9.25,2.98,80.26,78.42,96.42,80.18,57.74,69.23,183,1.72,292,25,53.08,54.79,60.96,0.5,1.06,1.1,1.22,96.5,0.28,2.92,2.04,2.43,2.58,2.08,74.63,1.31,50.73,2,373,93.89,70.29,1.07,32.71,1958,1.74,0.56,47000,65100,91500,44500,281,356,409,128,435,25,19,12.7,0,0,2,64.89,51.66,81.05,87.93,9,1612.7,0.64,0
yes,77759,2.64,35.49,62.85,1.34,0.77,23.36,38.8,26.5,10.61,77759,100,19568,76.89,0.5,33.56,24.15,8.16,13.04,28731,11469,14469,6306,11096,7372,5757,18455,26.72,11.4,27.92,27.29,6.93,51.72,11.73,39.97,11.82,31.48,8.85,46.5,12.31,10.68,3.05,61.94,55.03,67.95,63.08,66.46,72.86,4261,8.49,1656,43.9,55.31,58.88,65.94,0.93,1.18,1.25,1.4,95.93,0.43,5.06,2.98,2.35,2.59,2.14,51.61,3.52,52.3,2,1727,94.46,46.86,3.07,39.09,1967,5.8,0.62,44500,62900,89600,45100,174,258,339,165,342,31.7,19,12.6,17,11,2.13,72.02,45.46,69.1,84.99,48.8,1593.9,0.47,11.31
yes,17885,2.58,23.5,68.77,1.2,7.91,14.72,29.56,15.87,12.8,0,0,25689,75.98,0.83,36.53,29.49,8.46,11.03,32128,14978,19018,6263,7671,12705,5474,3227,18.74,13.78,31.82,24.89,5.04,61.93,22.78,25.29,17.89,27.86,12.27,30.73,15.37,13.98,3.04,59.56,54.55,63.53,58.67,68.85,71.54,1049,7.88,1587,37.05,51.8,67.3,78.76,3.29,4.6,5.97,6.99,89.99,2.92,5.38,3.6,2.45,2.5,2.41,48.28,4.96,51.59,2,711,90.71,47.35,0.28,25.88,1968,9.96,0.23,64600,92300,149800,85200,192,316,396,204,393,25.4,20.5,12.4,37,0,8.79,67.47,47,74.74,84.79,23.5,760.4,0.28,0
yes,14621,3.07,0.29,98.96,0.43,0.88,19.02,30.98,18.54,10.06,8888,60.79,42160,82.53,0.69,51.3,24.55,1.51,14.44,46275,15039,15104,13201,4701,15375,8381,407,3.14,6.9,18.3,20.3,5.66,66.01,15.65,26.71,11.21,27.99,6.44,32,7.75,7.14,3.15,87.6,85.88,95.97,86.25,73.47,83.32,73,0.76,542,1.85,4.06,9.41,10.52,0.07,0.15,0.35,0.39,86.07,0.7,3.99,3,2.71,2.85,2.17,83.48,1.37,45.04,3,263,94.76,79.39,0.76,40.68,1969,1.77,0.92,103500,121900,145900,42400,390,481,617,227,571,25.6,24.6,14.2,0,0,3.71,56.77,52.39,79.03,83.51,38.2,382.5,0.15,0
no,30093,2.76,8.16,85.38,5.57,1.81,11.89,25.49,12.14,13.23,30093,100,43244,81.37,0.55,45.11,29.31,5.35,14.74,50718,17163,17601,16333,3422,12113,16484,1451,4.88,4.51,15.28,21.81,6.41,65.87,14.28,24.07,9.92,27.11,6.26,32.04,8.55,7.48,3.23,82.39,79.16,91.99,79.67,63.92,70.61,316,1.41,3495,9.64,14.11,24.72,32.56,1.12,1.64,2.87,3.78,85.73,2.22,6.13,4.53,2.73,2.97,2.17,76.92,2.09,39.98,3,371,96.7,70.89,1.89,23.18,1964,0.63,0.37,133200,155000,179100,45900,491,679,814,323,729,28.1,22.6,13.8,0,0,11.61,77.33,63.57,78.26,94.78,10.4,2883.6,5.72,0
yes,83312,2.4,1.26,92.53,3.85,4.83,21.85,41.56,27.91,6.67,83312,100,29407,84.76,0.97,58.22,14.34,2.79,10.11,46208,17268,17842,10724,12860,10948,8807,14393,18.96,2.13,5.08,58.87,5.05,66.32,11.11,39.42,5.29,43.89,8.48,54.51,13.02,10.73,2.8,71.57,71.57,84.19,67.05,64.07,71.93,658,1.83,6752,31.21,41.72,51.7,56.99,2.53,3.38,4.19,4.62,90.11,1.31,2.25,1.29,2.18,2.38,2.01,50.35,2.29,55.41,2,1589,95.62,46.15,0.63,18.75,1969,1.64,0.3,95200,122700,166200,71000,376,480,624,248,521,31.9,21,11.6,213,29,8.1,25.58,30.96,54.51,69.28,23.4,3565.8,5.62,7.5
yes,368383,2.29,13.02,78.44,4.27,2.14,12.32,30.92,15.25,10.92,368383,100,25324,77.11,0.61,44.03,22.69,10.55,12.56,32998,14830,16936,7771,5609,6072,8660,65556,18.53,6.54,17.42,30.3,6.67,64.45,14.13,30.89,11.72,31.78,12.01,47.84,14.11,13.1,2.97,57.57,54.43,64.94,57.7,60.21,66.95,20186,8.98,22624,24.98,37.02,48.48,59.78,1.53,2.27,2.98,3.67,90.54,1.77,5.42,2.76,2.19,2.41,1.97,54.71,3.56,64.91,2,11984,93.06,49.69,6.3,27.06,1939,3.82,0.65,58500,71700,93200,34700,305,390,492,187,424,28.4,20.7,13,1052,28,6.14,61.6,43.87,76.04,85.24,56.9,6472.9,16.42,2.11
no,38961,2.66,4.08,71.62,17.93,18.61,11.64,27.46,12.38,9.68,38961,100,42019,83.76,0.65,49.2,19.09,4.56,15.36,48112,18289,19667,12957,14707,15914,13548,1802,4.77,5.65,15.96,21.32,4.12,67.83,9.14,18.48,10.85,26.21,10.12,35.33,13.22,11.65,3.18,77.36,74.56,90.43,79.4,71.93,73.77,528,2.08,9386,12.97,19.37,29.8,38.61,3.12,4.67,7.18,9.3,69.5,4.76,6.14,4.07,2.58,2.66,2.45,64.39,8.8,55.87,2,538,96.46,62.5,1.86,19.14,1960,0.85,0.4,249300,294600,357100,107800,595,709,877,282,763,27.6,25.8,11.5,5,0,24.09,53.33,53.45,76.69,91,6.7,5846.5,6.3,0
yes,30981,2.09,15.87,80.22,2.26,3.55,10.19,34.22,14.17,7.72,30981,100,33863,87.59,0.58,42.47,14.56,2.73,8.89,40482,19158,20366,14237,5058,16537,12021,2004,6.57,5.7,15.33,34.13,3.92,76.17,10.61,17.65,7.26,33.69,13.34,37.6,17.61,15.61,2.81,67.96,64.13,86.62,71.7,70.24,76.03,495,2.83,1834,24.75,40.73,51.8,59.16,1.47,2.41,3.07,3.5,91.34,1.51,2.83,1.42,2.06,2.24,1.93,46.77,2.02,66.44,2,1987,88.19,43.09,1.31,10.32,1979,2.78,0.21,64000,78100,98300,34300,412,476,577,165,562,24.4,20.2,13.3,0,8,5.92,42.71,37.42,57.98,71.52,11.8,2630,1.04,0
no,15337,2.54,0.73,98.37,0.4,1.06,11.81,22.01,10.02,19.12,15337,100,25053,63.6,0.23,41.62,42.09,5.3,25.9,26652,11025,11034,12254,8967,11586,9299,1556,10.17,8.08,28.14,8.06,4.13,53.15,14.04,17.53,14.93,18.89,10.67,19.26,12.82,11.79,2.89,75.23,71.14,79.6,72.91,60.46,68.99,54,0.43,484,5.37,5.37,5.37,10.54,0.17,0.17,0.17,0.33,94.61,0.48,3.27,2.47,2.54,2.47,2.8,76.28,2,46.75,3,845,87.73,78.47,1.18,36.33,1981,4.17,0.26,52000,62700,74700,22700,338,389,454,116,496,26.4,23.6,12.1,0,0,3.16,23.54,39.41,68.07,74.72,7.5,2031.9,0.15,0
yes,29771,3.29,79.99,15.08,0.27,6.49,18.68,31.61,16.21,7.56,29767,100,23201,75.58,0.58,15.59,25.27,20.55,14.31,26531,8690,11482,8229,4834,7158,7197,7486,25.57,13.23,33.29,7.96,17.3,54.09,17.06,26.88,21.85,15.82,13.56,43.4,18.64,16.28,3.78,46.13,37.44,42.44,48.54,61.77,68.29,3618,14.17,1315,10.57,18.78,24.03,42.28,0.47,0.83,1.06,1.87,91.31,1.97,16.69,12.64,3.25,3.34,3.11,60.6,11.29,46.19,3,1234,88,58.83,29.5,50.32,1955,15.23,0.63,40700,49900,60500,19800,265,357,447,182,453,35.1,22.3,13.3,51,0,4.42,67.35,57,93.88,95.17,6.4,4637.2,14.33,0
yes,80561,2.72,19.33,70.78,3.25,6.34,15.45,30.86,15.16,8.31,80391,99.79,24200,82.25,1.05,30.68,19.55,6.87,21.35,26659,10772,12071,7807,6605,7516,8572,12522,15.94,5.78,18.47,18.98,9.2,60.28,9.48,27.66,13.04,28.24,10.17,24.18,14.76,12.56,3.12,72.88,68.39,77.93,70.65,56.39,65.85,1781,3.02,4672,11.17,18.28,23.01,29.94,0.65,1.06,1.33,1.74,88.99,1.12,4.5,3.38,2.66,2.71,2.59,59,4.39,44.54,3,5056,85.4,57.88,2.97,41.97,1967,8.31,0.79,41300,55000,72200,30900,230,298,373,143,378,26.6,21.4,12.2,65,0,5.8,39.69,41.16,66.98,71.68,53,1520.5,0.03,6.85
no,17366,2.66,22.83,75.96,0.92,0.37,15.31,27.96,14.13,10.91,17366,100,27552,75.87,1.1,35.32,25.94,8.64,17.07,34483,12642,14642,6154,14503,7896,20326,2892,17.16,10.44,26.91,23.13,6.07,58.93,13.14,37.57,12.54,30.47,8.11,27.98,12.87,10.75,3.13,70.34,66.66,71.75,69.62,61.1,70.15,794,5.6,194,12.89,31.44,31.44,55.67,0.14,0.35,0.35,0.62,96.65,0.36,4.3,3.1,2.58,2.72,2.37,63.52,2.75,39.72,3,274,95.97,60.22,1.09,48.91,1973,3.91,0.49,53000,69300,87700,34700,132,278,374,242,372,25.8,17.8,12.9,0,0,1.12,77.18,51.01,81.3,89.53,10.9,1589.7,0,0
no,16097,2.6,0.11,98.65,0.38,0.65,14.85,27.13,13.27,12.19,0,0,21615,76.29,5.09,44.87,28.92,6.95,8.12,28305,10102,10135,250,7093,1750,7107,2288,14.75,17.83,25.32,16.81,4.88,62.86,6.46,27.26,13.56,24.33,6.14,29.63,9.28,7.8,3.15,79.49,79.81,91.25,78.71,70.22,71.82,182,1.2,189,5.82,5.82,9.52,18.52,0.07,0.07,0.11,0.22,90.15,0.65,4.71,3.19,2.51,2.78,2.07,69.34,2,43.33,3,653,90.45,62.72,0.61,55.13,1973,2.59,0.32,31500,44000,58800,27300,156,231,288,132,266,24.1,21.6,13.8,2,0,1.17,79.41,49.11,82.66,92.93,10.3,1558,0.14,0
yes,12967,2.38,20.03,78.72,0.52,1.66,10.58,19.91,9.39,25.46,0,0,21328,58.38,0.91,41.97,49.2,6.28,24.97,25185,11829,13401,6070,14213,8674,5939,1882,14.8,10.27,29.99,15.84,7.37,45.73,7.67,27.38,12,24.36,9.46,18.92,12.8,11.33,2.81,63.58,58.97,69.63,73.18,64.73,72.97,411,3.68,500,6.8,8.8,8.8,13.2,0.26,0.34,0.34,0.51,95.7,0.14,4.05,2.77,2.32,2.32,2.31,66.02,3.4,62.11,2,876,86.13,65.93,1.14,25.57,1973,8.49,0.11,46000,64500,90000,44000,193,305,382,189,369,28.7,22.6,12.2,0,0,3.86,35.04,41.24,69.69,80.09,7.7,1690.2,0,0
yes,10747,2.1,5.87,93.39,0.36,1.59,5.87,10.71,5.42,39.16,10878,100,34158,49.2,0.87,65.95,57.66,6.32,39.51,40288,22482,23273,7422,44684,54993,15099,898,8.43,4.66,15.38,25.46,3.93,32.16,7.36,25.64,9.47,31.29,6.83,12.06,8.03,7.47,2.36,66.61,56.45,58.18,53.31,49.36,65.15,213,1.95,536,1.31,3.54,3.54,5.04,0.07,0.18,0.18,0.25,93.01,0.68,1.72,1.31,2.05,2.04,2.1,79.24,1.44,56.6,2,1810,73.9,79.73,0.88,43.59,1979,3.7,0.16,114300,168200,225100,110800,240,364,513,273,434,25.6,23.7,11.5,0,0,4.93,14.53,41.11,58.03,66.03,14.6,736.1,0,6.91
no,17592,2.5,0.07,98.16,0.38,0.28,14.1,25.74,12.41,14.54,0,0,20606,74.37,3.44,44.45,30.27,4.84,11.31,27585,10660,10873,0,3198,6002,4464,2322,13.44,14.04,23.65,14.08,5.53,64.36,22,23.74,17.18,21.37,7.25,26.84,8.78,8.07,3.11,78.98,79.82,83.44,83.72,78.86,84.77,177,1.16,115,16.52,24.35,38.26,38.26,0.11,0.16,0.25,0.25,96.71,0.51,4.62,3,2.44,2.69,2,70.28,1.73,49.93,3,588,92.29,63.78,0.34,56.97,1962,4.54,0.24,36400,51100,71000,34600,166,233,307,141,282,26.2,20.4,12.4,0,0,0.65,77.44,49.23,78.51,91.58,13.7,1286.7,0.06,0
no,29387,2.22,1.21,93.83,1.53,7.99,10.54,26.19,11.36,14.13,29387,100,25422,77.64,0.42,41.13,26.36,5.54,15.98,30373,13514,13785,11211,8739,8960,9314,3146,10.9,5.78,19.75,19.03,4.95,65.25,14.03,21.42,13.11,23.26,14.96,30.89,18.36,16.76,2.87,65.96,63.97,81.23,67.84,70.04,76.6,471,2.18,1098,18.21,28.14,35.97,41.26,0.68,1.05,1.34,1.54,92.7,1.23,3.07,1.76,2.19,2.36,2,56,2.41,60.97,2,1656,88.89,51.83,0.97,29.71,1957,4.35,0.34,61800,72800,88700,26900,280,367,472,192,424,25.8,22.6,12.6,0,0,3.74,48.11,44.36,68.48,88.3,6.8,4344.6,4.4,0
no,12456,2.41,12.38,85.77,0.41,2.29,13.75,26.32,12.65,14.88,12456,100,23700,73.87,1.01,37.26,32.57,10.91,17.29,28669,11772,12437,7079,6248,25254,5276,1669,13.67,10.27,26.15,15.47,5.19,59.08,27.12,23.14,22.17,22.17,13.05,27.57,16.64,15.04,3.02,61.9,59.36,69.11,59.51,64.8,71.1,494,4.5,207,18.36,20.29,22.71,22.71,0.31,0.34,0.38,0.38,96.42,0.26,4.32,2.76,2.37,2.53,2.13,62.95,2.14,53.14,2,295,94.61,58.84,3.05,36.95,1947,5.83,0.29,27500,37300,50100,22600,209,269,325,116,322,25,16.1,13.2,0,0,1.66,54.2,55.03,81.44,89.1,5.3,2336.1,0.64,0
yes,63374,2.75,5.33,78.85,7.03,17.54,14.53,27.59,13.42,8.35,63374,100,41965,83.91,0.56,42.31,18.09,6.86,13.16,50040,19569,21058,12954,20827,19447,10661,4878,7.77,5.55,15.9,25.41,5.19,67.15,16.51,23.97,9.83,32.31,9.76,29.49,14.52,12.23,3.19,75,73.04,83.53,78.27,55.77,64.15,1052,2.4,8115,14.41,26.33,39.52,47.36,1.84,3.37,5.06,6.06,79.37,3.26,5.8,4.27,2.73,2.89,2.48,63.96,6.44,46.8,3,1419,94.21,60.34,0.7,11.49,1974,2.15,0.29,160100,226500,297100,137000,496,562,656,160,615,28.4,24.8,11.4,22,30,12.8,50.38,42.64,67.17,88.7,15.6,4053.1,0.96,0
yes,79443,2.94,3.48,93.08,2.12,7.12,16.71,27.43,12.9,6.39,79443,100,43428,87.41,0.34,47.14,16.88,2.15,9.04,49856,18319,18653,11989,26800,16487,13111,4087,5.16,3.42,10.81,31.47,3.85,72.25,9.84,21.44,6.2,32.87,7.37,27.41,11.81,9.68,3.34,81.78,81.54,91.14,83.5,60.56,70.12,806,1.66,9031,14.22,25.17,34.8,42.91,1.62,2.86,3.96,4.88,86.64,1.82,4.02,3.18,2.94,3.16,2.58,67.04,3.69,42.47,3,2771,90.7,62.4,0.47,23.78,1982,1.05,0.22,127700,160200,207500,79800,497,576,678,181,661,27.9,26.1,13.8,0,1,11.37,18.21,33.35,61.84,68.53,24.3,3265,0.78,6.54
yes,114323,2.64,41.26,54.97,1.67,4.3,14.36,26.61,13.08,12.31,114323,100,24495,74.31,0.79,34.87,29.05,9.41,13.81,31147,12751,17143,7018,11888,14620,8980,23494,21.15,9.87,24.84,19.72,7.84,56.36,14.4,28.61,12.62,27.05,12.36,29.63,16.08,14.35,3.16,64.9,59.16,74.11,64.66,60.14,68.15,4566,5.03,3698,21.34,27.23,37.61,48.05,0.69,0.88,1.22,1.55,91.96,1.2,6.57,4.5,2.55,2.65,2.42,62.15,4.55,49.86,3,5664,88.45,60.01,7.34,53.67,1962,8.1,0.66,28800,44500,68800,40000,200,275,355,155,370,26.7,17.7,13.5,124,51,3.23,70.49,54.5,84.45,94.09,82.9,1378.4,1.4,3.2
no,50553,2.73,1.37,90.67,5.78,6.69,14.08,26.43,12.45,4.85,50553,100,59458,89.33,0.5,55.48,11.96,2.83,11.76,64486,24812,25089,19410,19812,23598,18337,1212,2.41,1.51,7,37.16,3.06,76.54,16.44,20.59,6.41,37.93,8.8,27.57,12.2,10.53,3.11,83.52,82.85,92.01,81.55,59.88,70.94,196,0.64,3758,10.35,15.7,23.63,29.38,0.77,1.17,1.76,2.18,90.75,0.78,3.06,2.32,2.73,2.91,2.29,74.9,1.73,32.64,3,872,95.49,70.17,0.34,11.93,1977,0.24,0.07,250200,297200,372400,122200,657,760,942,285,836,26.9,26.4,11.3,0,1,7.43,51.6,41.35,65.55,84.85,16.8,3009.8,1.65,0
yes,19154,3.09,1.16,49.83,1.12,34.68,14.97,27.32,11.92,6.81,0,0,26622,83.51,0.85,27.74,17.15,8.48,9.48,29432,10559,13767,22905,6251,18186,7821,4323,22.96,11.24,24.92,16.23,5.77,65.16,5.58,26.85,10.92,28.5,10.57,31,14.41,12.6,3.49,65.57,62.59,64.77,75.9,60.9,69.74,1237,8.19,913,12.92,20.26,26.94,38.01,0.62,0.97,1.28,1.81,59.51,3.78,10.95,8.37,3.01,3.12,2.83,62.85,11.96,44.47,3,502,92.51,60.53,4.18,33.47,1971,14.59,0.79,53200,68200,90000,36800,182,276,355,173,353,24.1,19.7,12.3,88,18,4.77,61.21,47.74,78.58,84.98,11.4,1675.5,0.2,0
yes,10836,2.28,5.59,92.94,0.58,1.49,12.64,32.02,15.39,9.09,0,0,25649,84.51,0.9,30.14,19.2,2.24,7.63,32919,13997,14300,11547,4000,2331,8797,903,8.46,11.55,25.51,16.96,5.99,71.82,26.71,14.3,19.37,20.59,13.18,27.19,17.29,15.37,2.82,66.54,65.51,80.56,67.38,78.17,84.51,183,2.38,172,20.93,34.88,34.88,61.63,0.33,0.55,0.55,0.98,96.9,0.81,1.49,0.95,2.24,2.5,2.05,47.84,1.7,65.02,2,314,93.81,42.9,1.27,21.66,1977,6.37,0.65,56900,80700,107200,50300,243,302,360,117,373,22.5,20.8,13.1,0,0,1.59,60.31,34.76,64.31,79.22,7.5,1451,0,0
